Date,load,zone
1/3/18 15:00,11682,SCE
1/3/18 15:00,2517,SDGE
1/3/18 15:00,57,VEA
1/3/18 16:00,2999,AZPS
1/3/18 16:00,26900,CA ISO
1/3/18 16:00,3879,NEVP
1/3/18 16:00,5841,PACE
1/3/18 16:00,2925,PACW
1/3/18 16:00,12209,PGE
1/3/18 16:00,2987,PGE-NEW
1/3/18 16:00,3733,PSEI
1/3/18 16:00,12018,SCE
1/3/18 16:00,2612,SDGE
1/3/18 16:00,61,VEA
1/3/18 17:00,3189,AZPS
1/3/18 17:00,28833,CA ISO
1/3/18 17:00,4164,NEVP
1/3/18 17:00,5979,PACE
1/3/18 17:00,3125,PACW
1/3/18 17:00,13005,PGE
1/3/18 17:00,3231,PGE-NEW
1/3/18 17:00,4037,PSEI
1/3/18 17:00,12910,SCE
1/3/18 17:00,2851,SDGE
1/3/18 17:00,67,VEA
1/3/18 18:00,3162,AZPS
1/3/18 18:00,28948,CA ISO
1/3/18 18:00,4176,NEVP
1/3/18 18:00,5886,PACE
1/3/18 18:00,3132,PACW
1/3/18 18:00,13155,PGE
1/3/18 18:00,3273,PGE-NEW
1/3/18 18:00,4070,PSEI
1/3/18 18:00,12907,SCE
1/3/18 18:00,2818,SDGE
1/3/18 18:00,68,VEA
1/3/18 19:00,3102,AZPS
1/3/18 19:00,28371,CA ISO
1/3/18 19:00,4129,NEVP
1/3/18 19:00,5809,PACE
1/3/18 19:00,3061,PACW
1/3/18 19:00,12892,PGE
1/3/18 19:00,3218,PGE-NEW
1/3/18 19:00,4016,PSEI
1/3/18 19:00,12648,SCE
1/3/18 19:00,2762,SDGE
1/3/18 19:00,69,VEA
1/3/18 20:00,2989,AZPS
1/3/18 20:00,27561,CA ISO
1/3/18 20:00,4057,NEVP
1/3/18 20:00,5620,PACE
1/3/18 20:00,2976,PACW
1/3/18 20:00,12530,PGE
1/3/18 20:00,3115,PGE-NEW
1/3/18 20:00,3903,PSEI
1/3/18 20:00,12309,SCE
1/3/18 20:00,2654,SDGE
1/3/18 20:00,68,VEA
1/3/18 21:00,2801,AZPS
1/3/18 21:00,26316,CA ISO
1/3/18 21:00,3919,NEVP
1/3/18 21:00,5330,PACE
1/3/18 21:00,2807,PACW
1/3/18 21:00,11941,PGE
1/3/18 21:00,2916,PGE-NEW
1/3/18 21:00,3667,PSEI
1/3/18 21:00,11818,SCE
1/3/18 21:00,2492,SDGE
1/3/18 21:00,65,VEA
1/3/18 22:00,2605,AZPS
1/3/18 22:00,24460,CA ISO
1/3/18 22:00,3753,NEVP
1/3/18 22:00,5052,PACE
1/3/18 22:00,2583,PACW
1/3/18 22:00,11132,PGE
1/3/18 22:00,2654,PGE-NEW
1/3/18 22:00,3333,PSEI
1/3/18 22:00,11015,SCE
